Symbol	Element	Atomic Number	Standard Atomic Weight	Group #	Period #	Alternate Spelling	Group Name	Half-life
H	Hydrogen	1	"[1.007,84, 1.008,11]"	1	1		Alkali Metal	
He	Helium	2	"4.002,602(2)"	18	1		Noble Gas	
Li	Lithium	3	"[6.938, 6.997]"	1	2		Alkali Metal	
Be	Beryllium	4	"9.012,1831(5)"	2	2		Alkaline Earth Metal	
B	Boron	5	"[10.806, 10.821]"	13	2		Boron Group	
C	Carbon	6	"[12.0096, 12.0116]"	14	2		Carbon Group	
N	Nitrogen	7	"[14.006,43, 14.007,28]"	15	2		Pnictogen	
O	Oxygen	8	"[15.999,03, 15.999,77]"	16	2		Chalcogen	
F	Fluorine	9	"18.998,403,163(6)"	17	2		Halogen	
Ne	Neon	10	20.1797(6)	18	2		Noble Gas	
Na	Sodium	11	"22.989,769,28(2)"	1	3		Alkali Metal	
Mg	Magnesium	12	"[24.304, 24.307]"	2	3		Alkaline Earth Metal	
Al	Aluminum	13	"26.981,5385(7)"	13	3	Aluminium	Boron Group	
Si	Silicon	14	"[28.084, 28.086]"	14	3		Carbon Group	
P	Phosphorus	15	"30.973,761,998(5)"	15	3		Pnictogen	
S	Sulfur	16	"[32.059, 32.076]"	16	3		Chalcogen	
Cl	Chlorine	17	"[35.446, 35.457]"	17	3		Halogen	
Ar	Argon	18	39.948(1)	18	3		Noble Gas	
K	Potassium	19	39.0983(1)	1	4		Alkali Metal	1.248(3)e10+9 a
Ca	Calcium	20	40.078(4)	2	4		Alkaline Earth Metal	5.3(1.7)e10+19 a
Sc	Scandium	21	"44.955,908(5)"	3	4			
Ti	Titanium	22	47.867(1)	4	4			
V	Vanadium	23	50.9415(1)	5	4			1.5(4)e10+17 a
Cr	Chromium	24	51.9961(6)	6	4			
Mn	Manganese	25	"54.938,044(3)"	7	4			
Fe	Iron	26	55.845(2)	8	4			
Co	Cobalt	27	"58.933,194(4)"	9	4			
Ni	Nickel	28	58.6934(4)	10	4			
Cu	Copper	29	63.546(3)	11	4			
Zn	Zinc	30	65.38(2)	12	4			
Ga	Gallium	31	69.723(1)	13	4		Boron Group	
Ge	Germanium	32	72.630(8)	14	4		Carbon Group	1.58(17)e10+21 a
As	Arsenic	33	"74.921,595(6)"	15	4		Pnictogen	
Se	Selenium	34	78.971(8)	16	4		Chalcogen	9.7(5)e10+19 a
Br	Bromine	35	"[79.901, 79.907]"	17	4		Halogen	
Kr	Krypton	36	83.798(2)	18	4		Noble Gas	
Rb	Rubidium	37	85.4678(3)	1	5		Alkali Metal	4.923(22)e10+10 a
